Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
23-APR-2024,63068.9,63068.9,62703.4,62798.55,307068493,12421.59
24-APR-2024,63003.25,63460.1,62945.5,63277.4,308401449,13109.24
25-APR-2024,63317.1,63766.35,63153.5,63704.45,322296621,12544.09
26-APR-2024,63911.45,64375.25,63905.35,64134.55,424020927,14493.27
29-APR-2024,64508.35,64652.35,64094.15,64488.05,379076117,14345.41
30-APR-2024,64887.25,65421.4,64802.6,64900.5,585825127,24540
02-MAY-2024,65149.45,66058.05,65090.8,66008.85,505908784,23095.87
03-MAY-2024,66450.35,66456.25,65190.75,65770.5,408677077,18320.4
06-MAY-2024,65829.5,65865.4,64398.1,64937.4,586109278,22296.24
07-MAY-2024,65179.65,65332.1,63550.25,63937.35,501949971,21192.24
08-MAY-2024,63908.05,65076,63562.9,64784.25,458315111,19907.66
09-MAY-2024,64983,65063.8,63284.25,63411.1,453792988,18324.24
10-MAY-2024,63788.25,64056.8,63019,63934.2,379965082,14922.12
13-MAY-2024,64190.1,64453.85,62941.2,64354.4,450262350,19639.62
14-MAY-2024,64584.5,65388.65,64508.15,65304.8,449776699,19378.12
15-MAY-2024,65723.8,65915.55,65422.85,65643.7,443207276,19927.57
16-MAY-2024,66020.9,66483.9,65444.6,66320.2,473418589,21483.18
17-MAY-2024,66564.05,67181.25,66475.7,67105.05,526504056,19722.11
18-MAY-2024,67450.6,67724.4,67371.05,67657,97685399,3508.65
21-MAY-2024,68054.05,68324.25,67706.9,68241.75,637336995,24677.63
22-MAY-2024,68573.7,68611.35,67662.05,68328.25,521202919,21330.98
23-MAY-2024,68546,68858,68226.55,68819.8,611374803,21579.78
24-MAY-2024,68949.1,69458.95,68671.5,69033.25,488828664,24241.35
27-MAY-2024,69427.45,69599.65,68564.65,69136.3,500304775,20655.32
28-MAY-2024,69343.65,69453.8,68032.2,68545.6,407142331,17503.37
29-MAY-2024,68191,68535.45,67899.85,68070.5,408808905,17025.67
30-MAY-2024,68000.7,68161.35,67162.3,67358.2,441515457,16372.81
31-MAY-2024,67799.1,67926.1,66816.3,67527.65,1119396354,43157.88
03-JUN-2024,70871.9,70871.9,69492.65,70620.25,979667689,38714.03
04-JUN-2024,70511.3,70511.3,60663.4,64022.15,1886775118,70411.15
05-JUN-2024,65266.6,67079.5,62764.25,66835.4,1142239634,46012.86
06-JUN-2024,67567.55,68790.3,67553.7,68224.45,678593819,29407.02
07-JUN-2024,68331.05,69300,67897.7,69222.25,501952269,21470.65
10-JUN-2024,69722.25,70049.5,69233.4,69744.6,490962931,19496.22
